date,date,0
2017,11,-0.0029345449127488044
2017,12,0.3006696513958027
2018,1,0.017329566768039317
2018,2,0.2089812229683481
2018,3,0.20832902601414727
2018,4,-0.019373208900891004
2018,5,0.09742832054269401
2018,6,0.06429565063588827
2018,7,-0.19921737641877413
2018,8,0.1985390464021748
2018,9,0.05585429289470345
2018,10,0.03154505061617563
2018,11,0.1516203541929011
2018,12,0.04776869538774475
2019,1,0.07143190668908206
2019,2,-0.04624999411959152
2019,3,0.0
2019,4,-0.03135973725246266
2019,5,-0.07537217369559035
2019,6,-0.19601819965006295
2019,7,0.19058975870471007
2019,8,0.118109072345574
2019,9,0.0
2019,10,0.17382090122744787
2019,11,0.17925571278542396
2019,12,0.0
2020,1,-0.0038802468776270027
2020,2,0.08198979834659403
2020,3,0.06492904445858305
2020,4,0.34105254302271715
2020,5,0.09189700040337812
2020,6,-0.030559092259707987
2020,7,0.22973664831601104
2020,8,0.033660080444214646
2020,9,-0.07865452288979358
2020,10,0.210290647064441
2020,11,0.11319569465207491
2020,12,0.1853503170141091
2021,1,0.14520379623132684
2021,2,0.6308338797093971
2021,3,0.2987205318642361
2021,4,0.13108014100394905
2021,5,0.30756088905676493
2021,6,0.2091465131921879
2021,7,-0.07623656458036898
2021,8,-0.1525418874016976
2021,9,0.05985386693045758
2021,10,-0.1251959804346371
2021,11,0.14938045607591732
2021,12,0.12628717633183117
2022,1,0.058216387195212826
2022,2,0.12043023166202094
2022,3,-0.03539409075114275
2022,4,0.17733435911549256
2022,5,0.19317680340064092
2022,6,0.0
2022,7,0.001588769792669309
2022,8,0.13081335752284273
2022,9,0.04429624955841294
2022,10,0.0
2022,11,0.1870136324198941
2022,12,-0.03752408961456655
2023,1,0.3664070748605399
2023,2,0.028152876005334226
2023,3,0.20046448293838504
2023,4,0.030092526144127385
2023,5,-0.021359015746572063
2023,6,0.12161225607802328
2023,7,-0.011887462834086815
2023,8,-0.005026396430003466
2023,9,0.03759229526751273
2023,10,0.25336605638578447
2023,11,-0.006209048844405873
2023,12,0.12336612125402557
2024,1,0.16956572060469255
2024,2,0.33008739803474074
2024,3,0.0
2024,4,-0.07029304111360302
2024,5,0.11424388104199035
2024,6,-0.0695138991981964
2024,7,0.07565548442229053
2024,8,-0.004927320144001435
2024,9,0.16913155003689861
2024,10,0.08453157589338178
2024,11,0.2172142463108333
2024,12,0.06206681373739498
